"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Buster Posey","SFG","40","163","10","27","22","0","11.0%","16.6%",".250",".355",".333",".411",".583",".421",".398","172","-1.8","12.6","4.2","2.3","9166"
"Jose Ramirez","CLE","57","233","13","39","31","6","10.7%","13.7%",".262",".250",".262",".348",".525",".367",".398","135","1.4","11.1","2.3","2.2","13510"
"Mark Canha","OAK","59","263","11","47","22","7","12.9%","20.9%",".218",".298",".259",".388",".477",".379",".375","149","0.6","16.1","-4.0","2.1","11445"
"Carlos Correa","HOU","56","245","10","37","32","0","11.8%","15.1%",".201",".298",".280",".367",".481",".366",".365","140","-2.6","9.2","2.9","2.1","14162"
"Brandon Crawford","SFG","51","188","12","32","37","3","11.2%","23.9%",".274",".287",".262",".351",".537",".374",".377","141","0.5","10.0","4.1","2.1","5343"
"J.D. Martinez","BOS","54","234","12","41","39","0","9.8%","20.9%",".249",".369",".321",".389",".569",".407",".395","160","-1.6","15.1","-3.1","2.0","6184"
"Ramon Laureano","OAK","48","205","11","30","22","8","8.3%","26.8%",".246",".305",".257",".332",".503",".358",".367","135","1.8","10.4","2.4","2.0","17128"
"Rafael Devers","BOS","56","236","15","38","48","3","8.9%","27.5%",".299",".323",".275",".343",".573",".382",".394","143","0.7","12.8","-1.1","2.0","17350"
"Aaron Judge","NYY","57","236","14","32","32","0","14.4%","24.6%",".245",".349",".295",".398",".540",".402",".452","161","-2.1","15.2","-3.6","2.0","15640"
"Bryan Reynolds","PIT","56","236","8","34","27","0","13.1%","21.6%",".203",".350",".287",".390",".490",".381",".378","143","0.8","13.3","-1.7","2.0","19326"
"J.T. Realmuto","PHI","42","161","5","21","23","4","13.7%","23.6%",".189",".374",".295",".410",".485",".388",".402","147","1.4","10.7","3.3","2.0","11739"
"Nolan Arenado","STL","59","249","11","30","40","0","6.0%","13.3%",".235",".293",".287",".333",".522",".360",".320","132","0.3","10.2","0.7","1.9","9777"
"Will Smith","LAD","48","181","5","28","19","1","11.6%","17.7%",".176",".303",".268",".365",".444",".349",".359","126","0.5","6.3","6.7","1.9","19197"
"Yuli Gurriel","HOU","54","229","8","27","41","1","11.4%","9.2%",".203",".324",".325",".397",".528",".394",".344","159","-0.8","15.5","-4.5","1.9","19198"
"Matt Olson","OAK","55","230","15","37","40","0","10.9%","16.5%",".298",".270",".278",".365",".576",".395",".382","160","0.2","16.8","-6.1","1.9","14344"
"Jose Altuve","HOU","48","226","9","39","27","2","9.7%","14.2%",".166",".315",".302",".367",".467",".358",".352","135","0.7","10.3","0.5","1.9","5417"
"Adolis Garcia","TEX","51","207","16","28","42","7","4.8%","28.0%",".272",".311",".277",".314",".549",".366",".370","137","-0.2","8.9","2.3","1.9","19287"
"Chris Taylor","LAD","54","218","7","44","31","6","13.8%","24.8%",".192",".355",".275",".394",".467",".377",".370","144","2.7","14.4","-3.5","1.8","13757"
"Miguel Rojas","MIA","48","192","3","32","16","4","8.9%","14.6%",".158",".314",".275",".354",".433",".345",".310","124","0.9","6.6","4.9","1.8","7802"
"Jared Walsh","LAA","57","227","13","28","40","2","7.5%","25.6%",".262",".360",".301",".361",".563",".391",".335","154","-0.3","14.4","-4.6","1.8","18607"
"Isiah Kiner-Falefa","TEX","61","258","5","32","23","10","3.1%","16.3%",".123",".325",".284",".319",".407",".317",".304","104","2.9","3.9","4.7","1.8","16512"
"Joey Wendle","TBR","55","197","6","35","27","4","6.1%","20.8%",".200",".336",".283",".340",".483",".353",".286","132","-0.2","7.3","3.2","1.8","13853"
"Trent Grisham","SDP","36","154","6","23","14","7","11.7%","26.0%",".213",".389",".301",".383",".515",".387",".332","150","1.4","10.8","1.4","1.8","18564"
